age,sex,date,state,ethnicity,population
85+,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,1.3
overall_age,male,2020-01-01,Negeri Sembilan,bumi_malay,350.6
0-4,male,2020-01-01,Negeri Sembilan,bumi_malay,30.9
5-9,male,2020-01-01,Negeri Sembilan,bumi_malay,37.5
10-14,male,2020-01-01,Negeri Sembilan,bumi_malay,31.0
15-19,male,2020-01-01,Negeri Sembilan,bumi_malay,32.4
20-24,male,2020-01-01,Negeri Sembilan,bumi_malay,29.8
25-29,male,2020-01-01,Negeri Sembilan,bumi_malay,28.6
30-34,male,2020-01-01,Negeri Sembilan,bumi_malay,30.7
35-39,male,2020-01-01,Negeri Sembilan,bumi_malay,28.7
40-44,male,2020-01-01,Negeri Sembilan,bumi_malay,20.9
45-49,male,2020-01-01,Negeri Sembilan,bumi_malay,17.5
50-54,male,2020-01-01,Negeri Sembilan,bumi_malay,14.2
55-59,male,2020-01-01,Negeri Sembilan,bumi_malay,17.0
60-64,male,2020-01-01,Negeri Sembilan,bumi_malay,12.1
65-69,male,2020-01-01,Negeri Sembilan,bumi_malay,9.9
70-74,male,2020-01-01,Negeri Sembilan,bumi_malay,5.4
75-79,male,2020-01-01,Negeri Sembilan,bumi_malay,2.3
80-84,male,2020-01-01,Negeri Sembilan,bumi_malay,1.2
85+,male,2020-01-01,Negeri Sembilan,bumi_malay,0.5
overall_age,female,2020-01-01,Negeri Sembilan,bumi_malay,342.6
0-4,female,2020-01-01,Negeri Sembilan,bumi_malay,29.8
5-9,female,2020-01-01,Negeri Sembilan,bumi_malay,33.9
10-14,female,2020-01-01,Negeri Sembilan,bumi_malay,27.4
15-19,female,2020-01-01,Negeri Sembilan,bumi_malay,30.3
20-24,female,2020-01-01,Negeri Sembilan,bumi_malay,31.4
25-29,female,2020-01-01,Negeri Sembilan,bumi_malay,27.9
30-34,female,2020-01-01,Negeri Sembilan,bumi_malay,29.9
35-39,female,2020-01-01,Negeri Sembilan,bumi_malay,27.3
40-44,female,2020-01-01,Negeri Sembilan,bumi_malay,20.8
45-49,female,2020-01-01,Negeri Sembilan,bumi_malay,16.9
50-54,female,2020-01-01,Negeri Sembilan,bumi_malay,15.7
55-59,female,2020-01-01,Negeri Sembilan,bumi_malay,17.6
60-64,female,2020-01-01,Negeri Sembilan,bumi_malay,13.4
65-69,female,2020-01-01,Negeri Sembilan,bumi_malay,9.9
70-74,female,2020-01-01,Negeri Sembilan,bumi_malay,5.5
75-79,female,2020-01-01,Negeri Sembilan,bumi_malay,2.5
80-84,female,2020-01-01,Negeri Sembilan,bumi_malay,1.7
85+,female,2020-01-01,Negeri Sembilan,bumi_malay,0.8
overall_age,overall_sex,2020-01-01,Pahang,bumi_malay,1134.2
0-4,overall_sex,2020-01-01,Pahang,bumi_malay,108.4
5-9,overall_sex,2020-01-01,Pahang,bumi_malay,106.2
10-14,overall_sex,2020-01-01,Pahang,bumi_malay,107.0
15-19,overall_sex,2020-01-01,Pahang,bumi_malay,116.8
20-24,overall_sex,2020-01-01,Pahang,bumi_malay,87.1
25-29,overall_sex,2020-01-01,Pahang,bumi_malay,78.8
30-34,overall_sex,2020-01-01,Pahang,bumi_malay,88.2
35-39,overall_sex,2020-01-01,Pahang,bumi_malay,93.8
40-44,overall_sex,2020-01-01,Pahang,bumi_malay,80.7
45-49,overall_sex,2020-01-01,Pahang,bumi_malay,60.7
50-54,overall_sex,2020-01-01,Pahang,bumi_malay,48.9
55-59,overall_sex,2020-01-01,Pahang,bumi_malay,47.3
60-64,overall_sex,2020-01-01,Pahang,bumi_malay,35.7
65-69,overall_sex,2020-01-01,Pahang,bumi_malay,29.7
70-74,overall_sex,2020-01-01,Pahang,bumi_malay,22.3
75-79,overall_sex,2020-01-01,Pahang,bumi_malay,10.7
80-84,overall_sex,2020-01-01,Pahang,bumi_malay,6.7
85+,overall_sex,2020-01-01,Pahang,bumi_malay,5.4
overall_age,male,2020-01-01,Pahang,bumi_malay,577.7
0-4,male,2020-01-01,Pahang,bumi_malay,55.3
